Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
Local,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,919597,1534230000000,81563,239535,92603,78709,94883,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,919597,1534230000000,81563,239535,92603,78709,94883,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,2159970,1534251600000,0,205503,87225,69784,71270,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,2159970,1534251600000,-58520,205503,87225,69784,71270,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,2912107,1534273200000,0,168264,79422,53023,50428,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,2912107,1534273200000,-70767,168264,79422,53023,50428,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,3176462,1534283997000,0,154435,76302,49700,45414,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,3176462,1534283997000,-84248,154435,76302,49700,45414,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,3361164,1534305600000,0,154435,76302,49700,45414,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,3361164,1534305600000,-84248,154435,76302,49700,45414,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,4267029,1534327200000,0,97602,57417,35273,18222,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,4267029,1534327200000,-107567,97602,57417,35273,18222,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,5314011,1534348800000,0,60525,49593,6713,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,5314011,1534348800000,-120421,60525,49593,6713,-4849,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,5726250,1534363199000,0,35725,44781,0,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,5726250,1534363199000,-127386,35725,44781,-3082,-13889,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,5979990,1534384801000,0,35725,44781,0,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,5979990,1534384801000,-127386,35725,44781,-3082,-13889,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,6734652,1534406401000,0,0,21533,0,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,6734652,1534406401000,-155035,-11575,21533,-16584,-22549,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,7863533,1534428001000,0,0,2317,0,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,7863533,1534428001000,-183424,-65775,2317,-30555,-42324,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,8560378,1534449599000,-198377,-94903,-10339,-46770,-55538,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
