MSE,CumulativeMSE,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart
0.0,59.0,460000.0,GP_Clustered,0.02,58336,1529485209.0,0.0001,0.02
1.0,447.0,470000.0,GP_Clustered,0.02,58336,1529485282.0,0.0001,0.02
3.0,822.0,480000.0,GP_Clustered,0.02,58336,1529485354.0,0.0001,0.02
3.0,1168.0,490000.0,GP_Clustered,0.02,58336,1529485426.0,0.0001,0.02
3.0,1496.0,500000.0,GP_Clustered,0.02,58336,1529485500.0,0.0001,0.02
4.0,1848.0,510000.0,GP_Clustered,0.02,58336,1529485578.0,0.0001,0.02
5.0,2191.0,520000.0,GP_Clustered,0.02,58336,1529485659.0,0.0001,0.02
5.0,2531.0,530000.0,GP_Clustered,0.02,58336,1529485742.0,0.0001,0.02
7.0,2894.0,540000.0,GP_Clustered,0.02,58336,1529485823.0,0.0001,0.02
7.0,3256.0,550000.0,GP_Clustered,0.02,58336,1529485906.0,0.0001,0.02
8.0,3592.0,560000.0,GP_Clustered,0.02,58336,1529485990.0,0.0001,0.02
8.0,3943.0,570000.0,GP_Clustered,0.02,58336,1529486075.0,0.0001,0.02
8.0,4300.0,580000.0,GP_Clustered,0.02,58336,1529486160.0,0.0001,0.02
8.0,4604.0,590000.0,GP_Clustered,0.02,58336,1529486245.0,0.0001,0.02
9.0,4953.0,600000.0,GP_Clustered,0.02,58336,1529486326.0,0.0001,0.02
9.0,5291.0,610000.0,GP_Clustered,0.02,58336,1529486407.0,0.0001,0.02
9.0,5627.0,620000.0,GP_Clustered,0.02,58336,1529486488.0,0.0001,0.02
10.0,5973.0,630000.0,GP_Clustered,0.02,58336,1529486569.0,0.0001,0.02
10.0,6298.0,640000.0,GP_Clustered,0.02,58336,1529486652.0,0.0001,0.02
11.0,6595.0,650000.0,GP_Clustered,0.02,58336,1529486734.0,0.0001,0.02
13.0,6935.0,660000.0,GP_Clustered,0.02,58336,1529486817.0,0.0001,0.02
13.0,7266.0,670000.0,GP_Clustered,0.02,58336,1529486899.0,0.0001,0.02
13.0,7616.0,680000.0,GP_Clustered,0.02,58336,1529486983.0,0.0001,0.02
15.0,8003.0,690000.0,GP_Clustered,0.02,58336,1529487066.0,0.0001,0.02
16.0,8300.0,700000.0,GP_Clustered,0.02,58336,1529487149.0,0.0001,0.02
17.0,8604.0,710000.0,GP_Clustered,0.02,58336,1529487230.0,0.0001,0.02
19.0,8920.0,720000.0,GP_Clustered,0.02,58336,1529487314.0,0.0001,0.02
19.0,9274.0,730000.0,GP_Clustered,0.02,58336,1529487394.0,0.0001,0.02
19.0,9612.0,740000.0,GP_Clustered,0.02,58336,1529487472.0,0.0001,0.02
19.0,9950.0,750000.0,GP_Clustered,0.02,58336,1529487552.0,0.0001,0.02
19.0,10265.0,760000.0,GP_Clustered,0.02,58336,1529487630.0,0.0001,0.02
20.0,10636.0,770000.0,GP_Clustered,0.02,58336,1529487708.0,0.0001,0.02
20.0,11001.0,780000.0,GP_Clustered,0.02,58336,1529487789.0,0.0001,0.02
20.0,11376.0,790000.0,GP_Clustered,0.02,58336,1529487870.0,0.0001,0.02
20.0,11695.0,800000.0,GP_Clustered,0.02,58336,1529487950.0,0.0001,0.02
21.0,12014.0,810000.0,GP_Clustered,0.02,58336,1529488030.0,0.0001,0.02
21.0,12382.0,820000.0,GP_Clustered,0.02,58336,1529488109.0,0.0001,0.02
22.0,12711.0,830000.0,GP_Clustered,0.02,58336,1529488188.0,0.0001,0.02
23.0,13067.0,840000.0,GP_Clustered,0.02,58336,1529488267.0,0.0001,0.02
24.0,13466.0,850000.0,GP_Clustered,0.02,58336,1529488344.0,0.0001,0.02
25.0,13818.0,860000.0,GP_Clustered,0.02,58336,1529488423.0,0.0001,0.02
25.0,14172.0,870000.0,GP_Clustered,0.02,58336,1529488503.0,0.0001,0.02
27.0,14486.0,880000.0,GP_Clustered,0.02,58336,1529488582.0,0.0001,0.02
28.0,14822.0,890000.0,GP_Clustered,0.02,58336,1529488662.0,0.0001,0.02
28.0,15174.0,900000.0,GP_Clustered,0.02,58336,1529488741.0,0.0001,0.02
30.0,15508.0,910000.0,GP_Clustered,0.02,58336,1529488819.0,0.0001,0.02
30.0,15683.0,920000.0,GP_Clustered,0.02,58336,1529488893.0,0.0001,0.02
30.0,15841.0,930000.0,GP_Clustered,0.02,58336,1529488965.0,0.0001,0.02
31.0,15989.0,940000.0,GP_Clustered,0.02,58336,1529489033.0,0.0001,0.02
31.0,16160.0,950000.0,GP_Clustered,0.02,58336,1529489099.0,0.0001,0.02
31.0,16324.0,960000.0,GP_Clustered,0.02,58336,1529489162.0,0.0001,0.02
31.0,16474.0,970000.0,GP_Clustered,0.02,58336,1529489226.0,0.0001,0.02
31.0,16640.0,980000.0,GP_Clustered,0.02,58336,1529489288.0,0.0001,0.02
31.0,16796.0,990000.0,GP_Clustered,0.02,58336,1529489350.0,0.0001,0.02
32.0,16948.0,1000000.0,GP_Clustered,0.02,58336,1529489410.0,0.0001,0.02
33.0,17091.0,1010000.0,GP_Clustered,0.02,58336,1529489472.0,0.0001,0.02
34.0,17236.0,1020000.0,GP_Clustered,0.02,58336,1529489534.0,0.0001,0.02
34.0,17406.0,1030000.0,GP_Clustered,0.02,58336,1529489596.0,0.0001,0.02
34.0,17585.0,1040000.0,GP_Clustered,0.02,58336,1529489659.0,0.0001,0.02
34.0,17785.0,1050000.0,GP_Clustered,0.02,58336,1529489721.0,0.0001,0.02
34.0,17973.0,1060000.0,GP_Clustered,0.02,58336,1529489782.0,0.0001,0.02
34.0,18134.0,1070000.0,GP_Clustered,0.02,58336,1529489846.0,0.0001,0.02
34.0,18327.0,1080000.0,GP_Clustered,0.02,58336,1529489910.0,0.0001,0.02
34.0,18547.0,1090000.0,GP_Clustered,0.02,58336,1529489972.0,0.0001,0.02
34.0,18732.0,1100000.0,GP_Clustered,0.02,58336,1529490034.0,0.0001,0.02
34.0,18872.0,1110000.0,GP_Clustered,0.02,58336,1529490096.0,0.0001,0.02
34.0,19040.0,1120000.0,GP_Clustered,0.02,58336,1529490158.0,0.0001,0.02
34.0,19212.0,1130000.0,GP_Clustered,0.02,58336,1529490220.0,0.0001,0.02
34.0,19393.0,1140000.0,GP_Clustered,0.02,58336,1529490283.0,0.0001,0.02
